id,price,price_m, total_square ,living_square,ratio_livtot,rooms,level,total_levels,not_ground_floor,not_last_floor,middle_floor,age,kitchen_type,bad_cond,old_cond,rough_cond,prefin_cond,average_cond,good_cond,high_cond,test,panel,brick,concrete,part_furniture,full_furniture,year,walls,condition,price_m_k,furniture,district_name,district_code
183.0,19000000.0,353818.0,53.7,30.5,0.57,2.0,2.0,9.0,1.0,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1989.0,p,good,353.8,0.0,NBH aksaj-4,23.0
184.0,27500000.0,423077.0,65.0,45.0,0.69,2.0,4.0,10.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2015.0,m,high,423.1,0.0,NBH aksaj-1,17.0
185.0,29000000.0,391892.0,74.0,46.0,0.62,3.0,5.0,9.0,1.0,1.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1990.0,p,high,391.9,2.0,NBH aksaj-5,24.0
186.0,22900000.0,394828.0,58.0,32.0,0.55,2.0,1.0,9.0,0.0,1.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1984.0,p,high,394.8,2.0,NBH aksaj-2,19.0
187.0,32000000.0,313725.0,102.0,65.0,0.64,3.0,1.0,10.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2005.0,m,high,313.7,2.0,NBH aksaj-5,24.0
188.0,15000000.0,283019.0,53.0,28.0,0.53,2.0,11.0,12.0,1.0,1.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1998.0,m,good,283.0,1.0,NBH aksaj-1a,18.0
189.0,22000000.0,304709.0,72.2,49.3,0.68,3.0,6.0,9.0,1.0,1.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2006.0,m,old,304.7,1.0,NBH aksaj-1a,18.0
190.0,13700000.0,318605.0,43.0,20.0,0.47,1.0,10.0,10.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2016.0,m,high,318.6,2.0,NBH aksaj-1,17.0
191.0,13000000.0,433333.0,30.0,24.0,0.8,1.0,4.0,9.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2010.0,m,high,433.3,2.0,NBH aksaj-1a,18.0
192.0,12300000.0,384375.0,32.0,27.0,0.84,1.0,1.0,5.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1983.0,m,high,384.4,2.0,NBH aksaj-3,20.0
193.0,19000000.0,327586.0,58.0,43.0,0.74,3.0,3.0,5.0,1.0,1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1981.0,p,good,327.6,1.0,NBH aksaj-2,19.0
194.0,13000000.0,371429.0,35.0,18.0,0.51,1.0,3.0,5.0,1.0,1.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1983.0,p,good,371.4,1.0,NBH aksaj-2,19.0
195.0,15000000.0,294118.0,51.0,32.0,0.63,2.0,1.0,5.0,0.0,1.0,0.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1990.0,p,old,294.1,0.0,NBH aksaj-3a,21.0
196.0,28500000.0,405983.0,70.2,52.0,0.74,3.0,2.0,5.0,1.0,1.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1988.0,p,high,406.0,1.0,NBH aksaj-4,23.0
197.0,35000000.0,466045.0,75.1,45.3,0.6,3.0,5.0,9.0,1.0,1.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1984.0,p,high,466.0,2.0,NBH aksaj-2,19.0
